Notes,Census Region of Residence,Census Region of Residence Code,Mother's Delivery Weight,Mother's Delivery Weight Code,Infant Birth Weight 14,Infant Birth Weight 14 Code,Births
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,499 grams or less,1,146
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,500 - 749 grams,2,264
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,750 - 999 grams,3,285
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,1000 - 1249 grams,4,335
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,1250 - 1499 grams,5,519
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,1500 - 1999 grams,6,1882
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,2000 - 2499 grams,7,6949
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,2500 - 2999 grams,8,25056
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,3000 - 3499 grams,9,35698
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,3500 - 3999 grams,10,13141
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,4000 - 4499 grams,11,1553
,Census Region 1: Northeast,CENS-R1,100 - 149 lbs,2,4500 - 4999 grams,12,96
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,499 grams or less,1,237
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,500 - 749 grams,2,500
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,750 - 999 grams,3,653
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,1000 - 1249 grams,4,761
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,1250 - 1499 grams,5,968
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,1500 - 1999 grams,6,4163
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,2000 - 2499 grams,7,14112
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,2500 - 2999 grams,8,54156
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,3000 - 3499 grams,9,122036
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,3500 - 3999 grams,10,83438
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,4000 - 4499 grams,11,18448
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,4500 - 4999 grams,12,1752
,Census Region 1: Northeast,CENS-R1,150 - 199 lbs,3,5000 - 8165 grams,13,125
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,499 grams or less,1,134
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,500 - 749 grams,2,275
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,750 - 999 grams,3,324
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,1000 - 1249 grams,4,370
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,1250 - 1499 grams,5,479
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,1500 - 1999 grams,6,1968
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,2000 - 2499 grams,7,5803
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,2500 - 2999 grams,8,19802
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,3000 - 3499 grams,9,47166
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,3500 - 3999 grams,10,41476
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,4000 - 4499 grams,11,13574
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,4500 - 4999 grams,12,2057
,Census Region 1: Northeast,CENS-R1,200 - 249 lbs,4,5000 - 8165 grams,13,224
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,499 grams or less,1,42
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,500 - 749 grams,2,78
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,750 - 999 grams,3,99
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,1000 - 1249 grams,4,138
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,1250 - 1499 grams,5,140
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,1500 - 1999 grams,6,567
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,2000 - 2499 grams,7,1604
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,2500 - 2999 grams,8,4983
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,3000 - 3499 grams,9,11386
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,3500 - 3999 grams,10,10862
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,4000 - 4499 grams,11,4131
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,4500 - 4999 grams,12,846
,Census Region 1: Northeast,CENS-R1,250 - 299 lbs,5,5000 - 8165 grams,13,122
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,499 grams or less,1,14
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,500 - 749 grams,2,22
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,750 - 999 grams,3,29
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,1000 - 1249 grams,4,33
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,1250 - 1499 grams,5,42
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,1500 - 1999 grams,6,133
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,2000 - 2499 grams,7,372
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,2500 - 2999 grams,8,962
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,3000 - 3499 grams,9,2210
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,3500 - 3999 grams,10,2070
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,4000 - 4499 grams,11,837
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,4500 - 4999 grams,12,205
,Census Region 1: Northeast,CENS-R1,300 - 349 lbs,6,5000 - 8165 grams,13,49
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,1500 - 1999 grams,6,29
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,2000 - 2499 grams,7,88
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,2500 - 2999 grams,8,253
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,3000 - 3499 grams,9,440
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,3500 - 3999 grams,10,414
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,4000 - 4499 grams,11,186
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,4500 - 4999 grams,12,46
,Census Region 1: Northeast,CENS-R1,350 - 400 lbs,7,5000 - 8165 grams,13,15
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,499 grams or less,1,254
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,500 - 749 grams,2,398
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,750 - 999 grams,3,440
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,1000 - 1249 grams,4,515
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,1250 - 1499 grams,5,546
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,1500 - 1999 grams,6,2297
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,2000 - 2499 grams,7,8569
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,2500 - 2999 grams,8,26921
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,3000 - 3499 grams,9,36084
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,3500 - 3999 grams,10,13086
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,4000 - 4499 grams,11,1432
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,4500 - 4999 grams,12,78
,Census Region 2: Midwest,CENS-R2,100 - 149 lbs,2,5000 - 8165 grams,13,11
,Census Region 2: Midwest,CENS-R2,150 - 199 lbs,3,499 grams or less,1,399
